Id,1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,"3. ¿Con qué género te identificas?
","4. ¿Con qué frecuencia realizas viajes dentro de México?
","5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
 (Otro)",7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo. (Otro),8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases: (Otro),9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística? (Otro),"10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?
","11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”
",12. ¿Qué tipo de información consideras más importante?,12. ¿Qué tipo de información consideras más importante? (Otro),13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar? (Otro),"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?
",15. ¿Qué funciones consideras indispensables en una app de viajes?,15. ¿Qué funciones consideras indispensables en una app de viajes? (Otro),16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
","17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
 (Otro)"
647,Hidalgo,Pachuca de Soto,40–49 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,,Redes sociales (otro: Conocer),,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,Neutral,Recomendaciones locales confiables,,"No confiar en las recomendaciones, Exceso de publicidad, Información falsa o incompleta",Que se encuentre actualizada,
648,Aguascalientes,,18–29 años,Mujer,Una vez al año,4 veces o más,Naturaleza,,Redes sociales (otro: Espiritual o religioso),,Evito apps que parecen publicidad disfrazada,,Fotos reales,,4,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Falta de valor real, Información falsa o incompleta, Exceso de publicidad",Que sea confiable,
649,Hidalgo,Tulancingo de Bravo,18–29 años,Hombre,Muy rara vez,4 veces o más,Naturaleza,,Google,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,5,Mapas y rutas,,Poca visibilidad de comercios locales,,Probable,Comercios y servicios cercanos,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad y confianza ,
650,Hidalgo,Metztitlán,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales (otro: Pesca),,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Que sea una herramienta de utilidad para conocer lugares,
651,Hidalgo,Ixmiquilpan,30–39 años,Hombre,Varias veces al año,1 vez,Aventura,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,Poco probable,Uso sin conexión,,Exceso de publicidad,Confiable ,
652,Estado de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Información falsa,
653,Ciudad de México,,30–39 años,Mujer,Varias veces al año,3 veces,Naturaleza,,Redes sociales,,Me generan seguridad para tomar decisiones,,Fotos reales,,3,3,Seguridad,,Información desactualizada,,Neutral,Recomendaciones locales confiables,,"Exceso de publicidad, Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",No tengo,
654,Hidalgo,Tenango de Doria,18–29 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,Exceso de publicidad,"Rapidez 
",
655,Estado de México,,18–29 años,Hombre,Una vez al año,2 veces,Descanso / relajación,,Blogs o influencers,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Poca visibilidad de comercios locales,,Probable,Rutas sugeridas,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea verificada y confiable ,
656,Ciudad de México,,40–49 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,Información falsa o incompleta,Oportunidad ,
657,Querétaro,,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Poca visibilidad de comercios locales,,Neutral,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Confiable ,
658,Hidalgo,Tula de Allende,18–29 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,3,5,Mapas y rutas,,Información desactualizada,,Neutral,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confiabilidad ,
659,Hidalgo,Tula de Allende,50–59 años,Mujer,Una vez al año,1 vez,4 veces o más,,Recomendaciones de amigos / familia,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,2,5,Horarios actualizados,,Recomendaciones poco confiables,,Probable,Rutas sugeridas,,Exceso de publicidad,Que sea confiable ,
660,Estado de México,,50–59 años,Hombre,Varias veces al año,4 veces o más,4 veces o más,,Google,,Me ayudan a ahorrar tiempo,,Recomendación local,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",I nformación. Veridica,
661,Hidalgo,Pachuca de Soto,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,4,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Información real ,
662,Tamaulipas,,40–49 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,,Recomendaciones de amigos / familia,,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Excelente contenido,
663,Ciudad de México,,30–39 años,Mujer,Varias veces al año,3 veces,Naturaleza,,Redes sociales (otro: Religioso),,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,4,5,Mapas y rutas,,Información desactualizada,,Probable,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Veracidad,
664,Puebla,,30–39 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,3,Mapas y rutas,,Falta de información en el momento exacto,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Seguridad y que este actualizada,
665,Estado de México,,30–39 años,Mujer,Esporádicamente,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",,
666,Estado de México,,18–29 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,Falta de valor real,DisfRUTAR LA NATURALEZA ,
667,Hidalgo,Tizayuca,18–29 años,Hombre,Muy rara vez,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Rutas sugeridas,,"Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",la seguridad sea buena,
668,Ciudad de México,,30–39 años,Mujer,Una vez al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,3,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,Información falsa o incompleta,Información  veras,
669,Estado de México,,18–29 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Información real y servicios y ubicaciones,
670,Ciudad de México,,30–39 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Mala experiencia de uso, No confiar en las recomendaciones, Información falsa o incompleta",Que la Apple sea útil ,
671,Estado de México,,18–29 años,Mujer,Muy rara vez,2 veces,Descanso / relajación,,Apps de viaje,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,3,4,Mapas y rutas,,Recomendaciones poco confiables,,Probable,Recomendaciones locales confiables,,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta",Sea muy local ,
672,Hidalgo,,18–29 años,Hombre,Varias veces al año,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,2,2,Horarios actualizados,,Información desactualizada,,Poco probable,Uso sin conexión,,"Mala experiencia de uso, Exceso de publicidad, Falta de valor real",Precisa ,
673,Estado de México,,30–39 años,Mujer,Una vez al año,2 veces,Cultura / Historia,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"No confiar en las recomendaciones, Falta de valor real, Mala experiencia de uso",Que sirva ,
674,Estado de México,,18–29 años,Mujer,Una vez al año,2 veces,Descanso / relajación,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,3,5,Mapas y rutas,,Información desactualizada,,Neutral,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Segura ,
675,Hidalgo,Tizayuca,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,Información falsa o incompleta,Aquí te esperamos con los brazos abiertos ,
676,Morelos,,50–59 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,3,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Verdadera,
677,Estado de México,,30–39 años,Mujer,Varias veces al año,4 veces o más,4 veces o más,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Precio,,4,5,Horarios actualizados,,Falta de información en el momento exacto,,Muy probable,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Que sea informativa y siempre este actualizada, si es posible con precios y horarios de los locales ",
678,Hidalgo,Actopan,30–39 años,Mujer,Esporádicamente,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Ver que sea información verifica,
679,Querétaro,,40–49 años,Mujer,Esporádicamente,3 veces,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Que no parezca patrocinada,,4,5,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones","Información verídica,  actualizada y mapas offline",
680,Puebla,,50–59 años,Mujer,Una vez al año,1 vez,Descanso / relajación,,Google,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,4,5,Mapas y rutas,,Información desactualizada,,Probable,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Que sea seria y efectiva,
681,Guanajuato,,18–29 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Google (otro: Conocer),,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Neutral,Rutas sugeridas,,"Exceso de publicidad, Mala experiencia de uso, No confiar en las recomendaciones","Rutas, experiencias 


",
682,Hidalgo,Actopan,18–29 años,Mujer,Varias veces al año,3 veces,Naturaleza,,Redes sociales (otro: Convivencia con amigos),,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Información completa ,
683,Estado de México,,18–29 años,Mujer,Muy rara vez,1 vez,Gastronomía,,Redes sociales,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,3,3,Mapas y rutas,,Demasiadas opciones sin guía,,Poco probable,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",Sea 0ptima,
684,Ciudad de México,,18–29 años,Mujer,Una vez al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,5,Horarios actualizados,,Demasiadas opciones sin guía,,Neutral,Recomendaciones locales confiables,,Información falsa o incompleta,Que este recomendado y tenga información real,
685,Hidalgo,Actopan,18–29 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,3,Mapas y rutas,,Información desactualizada,,Neutral,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Que te ofrezca informacion de todo lo que puedas encontrar e. El estado,
686,Hidalgo,Tenango de Doria,18–29 años,Mujer,Muy rara vez,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,3,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",,
687,Hidalgo,Tizayuca,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,Muy probable,Recomendaciones locales confiables,,"Falta de valor real, Exceso de publicidad, No confiar en las recomendaciones",Utilidad y veracidad,
688,Estado de México,,18–29 años,Mujer,Varias veces al año,4 veces o más,Gastronomía,,Recomendaciones de amigos / familia (otro: Deportes en la naturaleza),,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Seguridad,,Poca visibilidad de comercios locales,,Probable,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Información verídica actual,
689,Ciudad de México,,50–59 años,Mujer,Esporádicamente,2 veces,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,3,3,Recomendaciones cercanas,,Información desactualizada,,Neutral,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Exceso de publicidad",Veraz,
690,Estado de México,,30–39 años,Hombre,Varias veces al año,4 veces o más,Cultura / Historia,,Google,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,4,2,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real","Que sea practica, no ocupe mucha memoria y sea fácil de entender ",
691,Estado de México,,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,3,4,Mapas y rutas,,Falta de información en el momento exacto,,Neutral,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad",,
692,Hidalgo,Ixmiquilpan,30–39 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Blogs o influencers,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,5,Horarios actualizados,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que sea confiable,
693,Hidalgo,Tepeapulco,40–49 años,Otro / Prefiero no contestar,Varias veces al año,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Poco probable,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que fuera real,
694,Veracruz,,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Que sea útil y actualizada ,
695,Hidalgo,Mineral del Monte,18–29 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Recomendación local,,1,2,Mapas y rutas,,Poca visibilidad de comercios locales,,Nada probable,Comercios y servicios cercanos,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Información concreta y real ,
696,Estado de México,,18–29 años,Mujer,Esporádicamente,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,3,3,Mapas y rutas,,Información desactualizada,,Neutral,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad,
697,Hidalgo,Pachuca de Soto,60 años o más,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales (otro: Negocio),,Me ayudan a ahorrar tiempo,,Fotos reales,,4,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Información correcta y precisa ,
698,Ciudad de México,,30–39 años,Hombre,Esporádicamente,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,3,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Que me ofrezca información Verídica de todos los destinos turísticos del estado ,
699,Estado de México,,40–49 años,Mujer,Varias veces al año,2 veces,4 veces o más,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",,
700,Estado de México,,30–39 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,,Google,,Evito apps que parecen publicidad disfrazada,,Precio,,2,1,Mapas y rutas,,Recomendaciones poco confiables,,Neutral,Uso sin conexión,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real",,
701,Veracruz,,30–39 años,Mujer,Esporádicamente,3 veces,Cultura / Historia,,Redes sociales,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,Muy probable,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Que me muestres datos actualizados y reales,
702,Hidalgo,Pachuca de Soto,30–39 años,Hombre,Esporádicamente,4 veces o más,4 veces o más,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,4,3,Recomendaciones cercanas,,Falta de información en el momento exacto,,Poco probable,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones","Información real breve y consisa 
",
703,Ciudad de México,,40–49 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Que realmente sea de gran utilidad la aplicación para los turistas,
704,Ciudad de México,,30–39 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,4,Seguridad,,Poca visibilidad de comercios locales,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Que mencione lugares atractivos para visitar, con costos, características, disponibilidad, horarios y rutas para llegar ",
705,Hidalgo,Huasca de Ocampo,50–59 años,Hombre,Una vez al año,3 veces,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Fotos reales,,2,2,Seguridad,,Demasiadas opciones sin guía,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad ,
706,Guanajuato,,18–29 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Inf actualizada, offline porque hay poca señal y que marque experiencias con horarios actualizados ",
707,Ciudad de México,,60 años o más,Mujer,,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real","Que sirva
",
708,Hidalgo,Atotonilco el Grande,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Que accesible y segura,
709,Ciudad de México,,40–49 años,Hombre,Muy rara vez,3 veces,Descanso / relajación,,No busco inspiración; ya conozco los destinos,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,3,4,Mapas y rutas,,Poca visibilidad de comercios locales,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Nada,
710,Ciudad de México,,50–59 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales (otro: Deporte),,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Comfiabilidad,
711,Ciudad de México,,40–49 años,Mujer,Una vez al año,2 veces,Cultura / Historia,,Redes sociales,,Confío en sus recomendaciones,,Cercanía / ubicación,,3,4,Mapas y rutas,,Demasiadas opciones sin guía,,Neutral,Uso sin conexión,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",No tengo opcines,
712,Estado de México,,30–39 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,4,4,Mapas y rutas,,Poca visibilidad de comercios locales,,Muy probable,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad","Información completa y actualizada 
Con buenos recomendaciones de distintos precios",
713,Hidalgo,Atotonilco el Grande,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Confiable y verídica,
714,Ciudad de México,,50–59 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Veracidad,
715,Estado de México,,40–49 años,Hombre,Una vez al año,2 veces,Descanso / relajación,,Redes sociales,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,3,3,Mapas y rutas,,Poca visibilidad de comercios locales,,Neutral,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad",,
716,Estado de México,,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Uso sin conexión,,"Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Que muestre precios y los horarios abiertos ,
717,Estado de México,,40–49 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Que se trate de una plataforma oficial,,5,1,Mapas y rutas,,Información desactualizada,,Probable,Rutas sugeridas,,Exceso de publicidad,Veracidad en la información ,
718,Estado de México,,30–39 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,3,3,Mapas y rutas,,Poca visibilidad de comercios locales,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Confiable ,
719,Querétaro,,18–29 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Poco probable,Comercios y servicios cercanos,,"Mala experiencia de uso, Exceso de publicidad, Información falsa o incompleta",Eficaz eficiente,
720,Guanajuato,,30–39 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Horarios y precios reales,
